listing_id,Property_Title,Price_Raw,Location_Info,Sector,Room_Number,Area_m2,Link,Scraped_At,Page
apartament-3-camere-decomandat-zona-grand-arena-IDFGSn,Apartament 3 camere decomandat - zona Grand Arena,115 000 €,"Drumul Dealul Alunis, IMGB, Sectorul 4, Bucuresti",4,3,62.0,https://www.storia.ro/ro/oferta/apartament-3-camere-decomandat-zona-grand-arena-IDFGSn,2025-12-27T16:35:35,1
apartament-2-camere-i-de-vanzare-i-pta-amzei-i-de-renovat-IDFJKT,Apartament 2 Camere I De Vanzare I Pta. Amzei I De Renovat,135 000 €,"Strada General Christian Tell, Piata Romana, Sectorul 1, Bucuresti",1,2,51.76,https://www.storia.ro/ro/oferta/apartament-2-camere-i-de-vanzare-i-pta-amzei-i-de-renovat-IDFJKT,2025-12-27T16:35:35,1
duplex-penthouse-exclusiv-458-5-m-herastrau-IDF2NL,"Duplex Penthouse Exclusiv 458,5 m² Herastrau",1 650 000 €,"Soseaua Nordului, Herastrau, Sectorul 1, Bucuresti",1,5,458.5,https://www.storia.ro/ro/oferta/duplex-penthouse-exclusiv-458-5-m-herastrau-IDF2NL,2025-12-27T16:35:36,1
apartament-gara-de-nord-2-cam-76000-direct-proprietar-renovat-mobilat-IDFNzr,Apartament Gara de Nord 2 cam 76000€ direct proprietar renovat mobilat,Apartament Gara de Nord 2 cam 76000€ direct proprietar renovat mobilat,"Gara de Nord, Sectorul 1, Bucuresti",1,2,43.0,https://www.storia.ro/ro/oferta/apartament-gara-de-nord-2-cam-76000-direct-proprietar-renovat-mobilat-IDFNzr,2025-12-27T16:35:36,1
vanzare-garsoniera-politehnica-IDF4Iy,Vanzare garsoniera Politehnica,71 000 €,"Militari, Sectorul 6, Bucuresti",6,4,33.0,https://www.storia.ro/ro/oferta/vanzare-garsoniera-politehnica-IDF4Iy,2025-12-27T16:35:39,1
vanzare-apartament-2-camere-nerva-traian-adiacent-IDF957,Vanzare apartament 2 camere Nerva Traian-adiacent,160 000 €,"Nerva Traian, Sectorul 3, Bucuresti",3,2,59.0,https://www.storia.ro/ro/oferta/vanzare-apartament-2-camere-nerva-traian-adiacent-IDF957,2025-12-27T16:35:40,1
apartament-2-camere-oltenitei-sun-plazza-IDFQY5,Apartament 2 camere Oltenitei- Sun Plazza.,73 000 €,"Berceni, Sectorul 4, Bucuresti",4,2,48.0,https://www.storia.ro/ro/oferta/apartament-2-camere-oltenitei-sun-plazza-IDFQY5,2025-12-27T16:35:40,1
apartament-4-camere-unic-armeneasca-licurg-2-IDD8NY,Apartament 4 camere UNIC | Armeneasca Licurg 2,480 000 €,"Armenesc, Sectorul 2, Bucuresti",2,4,109.0,https://www.storia.ro/ro/oferta/apartament-4-camere-unic-armeneasca-licurg-2-IDD8NY,2025-12-27T16:35:40,1
apartament-2-camere-birouri-armeneasca-ultracentral-IDDaou,Apartament 2 camere | Birouri | Armeneasca Ultracentral,395 000 €,"Armenesc, Sectorul 2, Bucuresti",2,2,83.0,https://www.storia.ro/ro/oferta/apartament-2-camere-birouri-armeneasca-ultracentral-IDDaou,2025-12-27T16:35:40,1
metrou-aparatorii-patriei-12-min-3-camere-2-bai-84mp-IDFLrG,Metrou Aparatorii Patriei - 12 min - 3 camere 2 bai 84mp,113 000 €,"Drumul Jilavei, Aparatorii Patriei, Sectorul 4, Bucuresti",4,3,84.0,https://www.storia.ro/ro/oferta/metrou-aparatorii-patriei-12-min-3-camere-2-bai-84mp-IDFLrG,2025-12-27T16:35:40,1
metrou-aparatorii-patriei-1km-garsoniera-37mp-IDFLro,Metrou Aparatorii Patriei (1km) - garsoniera 37mp,61 500 €,"Aparatorii Patriei, Sectorul 4, Bucuresti",4,3,37.0,https://www.storia.ro/ro/oferta/metrou-aparatorii-patriei-1km-garsoniera-37mp-IDFLro,2025-12-27T16:35:43,1
